year,country,inflow,outflow,latitude,longitude,net_migrants
1990,Afghanistan,50671,3581557,33.93911,67.709953,-3530886
1990,Mongolia,6043,2718,46.862496,103.846656,3325
1990,Monaco,11565,4213,43.750298,7.412841,7352
1990,British Virgin Islands,7516,429,18.420695,-64.639968,7087
1990,Mexico,693754,4383467,23.634501,-102.552784,-3689713
1990,Mayotte,12733,1800,-12.8275,45.166244,10933
1990,Mauritius,3246,107998,-20.348404,57.552152,-104752
1990,Bulgaria,19077,603562,42.733883,25.48583,-584485
1990,Mauritania,110227,133163,21.00789,-10.940835,-22936
1990,Martinique,37033,11003,14.641528,-61.024174,26030
1990,Marshall Islands,1022,1613,7.131474,171.184478,-591
1990,Burkina Faso,326879,1018342,12.238333,-1.561593,-691463
1990,Malta,14979,110152,35.937496,14.375416,-95173
1990,Mali,142919,642857,17.570692,-3.996166,-499938
1990,Maldives,8435,2057,3.202778,73.22068,6378
1990,Burundi,273491,84615,-3.373056,29.918886,188876
1990,Malaysia,609304,511291,4.210484,101.975766,98013
1990,Malawi,1096822,114130,-13.254308,34.301525,982692
1990,Madagascar,17503,58481,-18.766947,46.869107,-40978
1990,Cambodia,32682,331826,12.565679,104.990963,-299144
1990,Luxembourg,113439,27725,49.815273,6.129583,85714
1990,Lithuania,335946,258023,55.169438,23.881275,77923
1990,Liechtenstein,10877,3428,47.166,9.555373,7449
1990,Cameroon,212475,111107,7.369722,12.354722,101368
1990,Libya,457075,75547,26.3351,17.228331,381528
1990,Liberia,74599,516716,6.428055,-9.429499,-442117
1990,Lesotho,4469,191907,-29.609988,28.233608,-187438
1990,Canada,4327805,984542,56.130366,-106.346771,3343263
1990,Montserrat,1652,6539,16.742498,-62.187366,-4887
1990,Brazil,770323,484101,-14.235004,-51.92528,286222
1990,Morocco,43973,1584880,31.791702,-7.09262,-1540907
1990,Mozambique,58963,2073203,-18.665695,35.529562,-2014240
1990,Poland,1073550,1493977,51.919438,19.145136,-420427
1990,Philippines,128466,1977624,12.879721,121.774017,-1849158
1990,Belgium,876683,363573,50.503887,4.469936,513110
1990,Peru,63987,275930,-9.189967,-75.015152,-211943
1990,Paraguay,189434,296281,-23.442503,-58.443832,-106847
1990,Papua New Guinea,31057,3015,-6.314993,143.95555,28042
1990,Belize,29314,35104,17.189877,-88.49765,-5790
1990,Panama,62485,133058,8.537981,-80.782127,-70573
1990,Palau,2695,5522,7.51498,134.58252,-2827
